Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
Receiver762x39mmSchematic,items,Ammo,New,7.62x39mm Receiver Schematic,,,,,
Barrel762x39mmSchematic,items,Ammo,New,7.62x39mm Barrel Schematic,,,,,
Conversionkit762x39mmSchematic,items,Ammo,New,7.62x39mm Conversion kit Schematic,,,,,





ammo9mmBulletBall,items,Ammo,New,9mm Luger (AMMO),,,,,
ammo9mmBulletBallSchematic,items,Ammo,New,9mm Luger Schematic,,,,,
ammo9mmBulletBallDesc,items,Ammo,New,9mm Luger Ammo\nCan be crafted at a workbench.\n\nBace Damage: 32\nArmor-piercing: 0%\nPenetration Count: 0,,,,,
ammoBundle9mmBulletBall,items,Ammo,New,Box of 9mm Luger (100),,,,,

ammo9mmBulletHP,items,Ammo,New,9mm Luger Hollow Point (AMMO),,,,,
ammo9mmBulletHPDesc,items,Ammo,New,9mm Luger Hollow Point Ammo\nCan be crafted at a workbench.\n\nBace Damage: 41.6\nArmor-piercing: 100%\nPenetration Count: 0,,,,,
ammoBundle9mmBulletHP,items,Ammo,New,Box of 9mm Luger Hollow Points (100),,,,,

ammo9mmBulletAP,items,Ammo,New,Armor Piercing 9mm Luger (AMMO),,,,,
ammo9mmBulletAPDesc,items,Ammo,New,Armor Piercing 9mm Luger Ammo\nCan be crafted at a workbench.\n\nBace Damage: 32\nArmor-piercing: -20%\nPenetration Count: 1\nDegradation: 30%,,,,,
ammoBundle9mmBulletAP,items,Ammo,New,Box of Armor Piercing 9mm Luger (100),,,,,


Receiver9mmLuger,items,Ammo,New,Receiver [9mm Luger],,,,,
Receiver9mmLugerDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel9mmLuger,items,Ammo,New,Barrel [9mm Luger],,,,,
Barrel9mmLugerDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit9mmLuger,items,Ammo,New,Conversion kit [9mm Luger],,,,,
Conversionkit9mmLugerDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,

Receiver9mmLugerSchematic,items,Ammo,New,9mm Luger Receiver Schematic,,,,,
Barrel9mmLugerSchematic,items,Ammo,New,9mm Luger Barrel Schematic,,,,,
Conversionkit9mmLugerSchematic,items,Ammo,New,9mm Luger Conversion kit Schematic,,,,,





ammo44MagnumBulletBall,items,Ammo,New,.44 Remington Magnum (AMMO),,,,,
ammo44MagnumBulletBallSchematic,items,Ammo,New,.44 Remington Magnum Schematic,,,,,
ammo44MagnumBulletBallDesc,items,Ammo,New,.44 Remington Magnum Ammo\nCan be crafted at a workbench.\n\nBace Damage: 65\nArmor-piercing: 0%\nPenetration Count: 0,,,,,
ammoBundle44MagnumBulletBall,items,Ammo,New,Box of .44 Remington Magnum (100),,,,,

ammo44MagnumBulletHP,items,Ammo,New,.44 Remington Magnum Hollow Point (AMMO),,,,,
ammo44MagnumBulletHPDesc,items,Ammo,New,.44 Remington Magnum Hollow Point Ammo\nCan be crafted at a workbench.\n\nBace Damage: 84.5\nArmor-piercing: 100%\nPenetration Count: 1,,,,,
ammoBundle44MagnumBulletHP,items,Ammo,New,Box of .44 Remington Magnum Hollow Points (100),,,,,

ammo44MagnumBulletAP,items,Ammo,New,Armor Piercing .44 Remington Magnum (AMMO),,,,,
ammo44MagnumBulletAPDesc,items,Ammo,New,Armor Piercing .44 Remington Magnum Ammo\nCan be crafted at a workbench.\n\nBace Damage: 65\nArmor-piercing: -20%\nPenetration Count: 1\nDegradation: 30%,,,,,
ammoBundle44MagnumBulletAP,items,Ammo,New,Box of Armor Piercing .44 Remington Magnum (100),,,,,


Receiver44remMagnum,items,Ammo,New,Receiver [.44 Remington Magnum],,,,,
Receiver44remMagnumDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel44remMagnum,items,Ammo,New,Barrel [.44 Remington Magnum],,,,,
Barrel44remMagnumDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit44remMagnum,items,Ammo,New,Conversion kit [.44 Remington Magnum],,,,,
Conversionkit44remMagnumDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,

Receiver44remMagnumSchematic,items,Ammo,New,.44 Remington Magnum Receiver Schematic,,,,,
Barrel44remMagnumSchematic,items,Ammo,New,.44 Remington Magnum Barrel Schematic,,,,,
Conversionkit44remMagnumSchematic,items,Ammo,New,.44 Remington Magnum Conversion kit Schematic,,,,,





PistolframeDesc,items,Ammo,New,Used for creating Pistols.,,,,,
MagnumframeDesc,items,Ammo,New,Used for creating Magnums.,,,,,
SMGframeDesc,items,Ammo,New,Used for creating SMGs.,,,,,
RifleframeDesc,items,Ammo,New,Used for creating Rifles.,,,,,
DMRframeDesc,items,Ammo,New,Used for creating DMRs.,,,,,
AKframeDesc,items,Ammo,New,Used for creating Assault Rifles.,,,,,
LMGframeDesc,items,Ammo,New,Used for creating LMGs.,,,,,
PumpshotgunframeDesc,items,Ammo,New,Used for creating pump action weapons.,,,,,
SxSshotgunframeDesc,items,Ammo,New,Used for creating double barrel weapons.,,,,,





gunPumpShotgun,items,GunShotgun,KgNone,Mossberg 590 [12 Gauge],Fusil à pompe,Schrotflinte,,Escopeta,
gunPumpShotgunSchematic,items,GunShotgun,KgNone,Mossberg 590 [12 Gauge] Schematic,Schéma de fusil à pompe,Bauplan – Schrotflinte,,Esquema de escopeta,

gunPistol,items,GunPistol,KgNone,Beretta M9 [9mm Luger],Pistolet,Pistole,,Revólver,
gunPistolSchematic,items,GunPistol,New,Beretta M9 [9mm Luger] Schematic,,,,,

gun44Magnum,items,GunPistol,KgNone,S&W Model 629 [.44 Remington Magnum],.44 magnum,.44 Magnum,,Magnum .44,
gun44MagnumSchematic,items,GunPistol,New,S&W Model 629 [.44 Remington Magnum] Schematic,,,,,

gunSMG5,items,GunPistol,KgNone,MP5 [9mm Luger],Mitraillette,Maschinenpistole,,Metralleta,
gunSMG5Schematic,items,GunPistol,KgNone,MP5 [9mm Luger] Schematic,Schéma de mitraillette,Bauplan – Maschinenpistole,,Esquema de metralleta,

gunDoubleBarrelShotgun,items,GunShotgun,New,Remington Model-1887 [12 Gauge],,,,,
gunDoubleBarrelShotgunSchematic,items,GunShotgun,New,Remington Model-1887 [12 Gauge] Schematic,,,,,

gunHuntingRifle,items,GunRifle,KgNone,Remington 700 [7.62x39mm],Fusil de chasse,Jagdgewehr,,Rifle de caza,
gunHuntingRifleSchematic,items,GunRifle,New,Remington 700 [7.62x39mm] Schematic,,,,,

gunMR10,items,GunRifle,KgNone,R11 RSASS [7.62x39mm],MR-10,MR-10,,MR-10,
gunMR10Schematic,items,GunRifle,KgNone,R11 RSASS [7.62x39mm] Schematic,Schéma de fusil de précision,Bauplan – Präzisionsgewehr,,Esquema de rifle de francotirador,

gunAK47,items,GunMG,KgNone,Kalashnikov AK-47 [7.62x39mm],Fusil d'assaut AK-47,AK-47 Sturmgewehr,,Rifle de asalto AK-47,
gunAK47Schematic,items,GunMG,KgNone,Kalashnikov AK-47 [7.62x39mm] Schematic,Schéma d'AK-47,Bauplan – AK-47,,Esquema de AK-47,

gunM60,items,GunMG,New,M60E4 [7.62x39mm],,M60 Maschinengewehr,,,






M922Desc,items,Ammo,New,This Beretta M9 can use .22 Short and Long-Rifle ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
M9380Desc,items,Ammo,New,This Beretta M9 uses .380 ACP ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
M940swDesc,items,Ammo,New,This Beretta M9 uses .40 Smith & Wesson ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,

10mmAutoPistol,items,Ammo,New,Beretta M9 [10mm Auto],,,,,
10mmautopistolDesc,items,Ammo,New,This Beretta M9 uses 10mm Auto ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
10mmAutoPistolSchematic,items,Ammo,New,Beretta M9 [10mm Auto] Schematic,,,,,

M945acpDesc,items,Ammo,New,This Beretta M9 uses .45 ACP ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
M950aeDesc,items,Ammo,New,This Beretta M9 uses .50 Action Express ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,

17HMRPistolm9,items,Ammo,New,Beretta M9 [.17 HMR],,,,,
17HMRPistolm9Schematic,items,Ammo,New,Beretta M9 [.17 HMR] Schematic,,,,,
17HMRPistolm9Desc,items,Ammo,New,This Beretta M9 uses .17 HMR ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,

22WMRPistolm9,items,Ammo,New,Beretta M9 [.22 WMR],,,,,
22WMRPistolm9Schematic,items,Ammo,New,Beretta M9 [.22 WMR] Schematic,,,,,
22WMRPistolm9Desc,items,Ammo,New,This Beretta M9 uses .22 WMR ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,

30LugerPistolm9,items,Ammo,New,Beretta M9 [.30 Luger],,,,,
30LugerPistolm9Schematic,items,Ammo,New,Beretta M9 [.30 Luger] Schematic,,,,,
30LugerPistolm9Desc,items,Ammo,New,This Beretta M9 uses .30 Luger ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,



Revolver410Desc,items,Ammo,New,This S&W Governor uses .410 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Revolver22Desc,items,Ammo,New,This S&W Model 617 uses .22 Short and Long-Rifle ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Revolver327Desc,items,Ammo,New,This Ruger GP100 uses .327 Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Revolver35738Desc,items,Ammo,New,This S&W Model 686 can use .357 Magnum and .38 Special ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Revolver500swDesc,items,Ammo,New,This S&W 500 uses .500 Smith & Wesson Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,

S/W Governor [.410 Gauge],items,Weapons,New,S&W Governor [.410 Gauge],,,,,
S/W Model 617 [.22 S/LR],items,Weapons,New,S&W Model 617 [.22 S/LR],,,,,
Ruger GP100 [.327 Magnum],items,Weapons,New,Ruger GP100 [.327 Magnum],,,,,
S/W Model 686 [.357 MAG/.38 SP],items,Weapons,New,S&W Model 686 [.357 MAG/.38 SP],,,,,
S/W 500 [.500 S/W Magnum],items,Weapons,New,S&W 500 [.500 S&W Magnum],,,,,

BFR4570,items,Ammo,New,Magnum Research BFR [.45-70 Government],,,,,
BFR4570Schematic,items,Ammo,New,Magnum Research BFR [.45-70 Government] Schematic,,,,,
BFR4570Desc,items,Ammo,New,This Magnum Research BFR uses .45-70 Government ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,

EZR458WinMag,items,Ammo,New,Express Zeliska Revolver [.458 Winchester Magnum],,,,,
EZR458WinMagSchematic,items,Ammo,New,Express Zeliska Revolver [.458 Winchester Magnum] Schematic,,,,,
EZR458WinMagDesc,items,Ammo,New,This Express Zeliska Revolver uses .458 Winchester Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,



Mp522Desc,items,Ammo,New,This MP5 can use .22 Short and Long-Rifle ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Mp5380Desc,items,Ammo,New,This MP5 uses .380 ACP ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Mp5357Desc,items,Ammo,New,This MP5 uses .357 SIG ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Mp540swDesc,items,Ammo,New,This MP5 uses .40 Smith & Wesson ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Mp510mmautoDesc,items,Ammo,New,This MP5 uses 10mm Auto ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Mp545acpDesc,items,Ammo,New,This MP5 uses .45 ACP ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,



Rem70030carbDesc,items,Ammo,New,This Remington 700 uses .30 Carbine ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem700223556Desc,items,Ammo,New,This Remington 700 can use .223 Remington and 5.56x45mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem7003030winDesc,items,Ammo,New,This Remington 700 uses .30-30 Winchester ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem70076254rDesc,items,Ammo,New,This Remington 700 uses 7.62x54R ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem7009x39Desc,items,Ammo,New,This Remington 700 uses 9x39mm ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem700308762Desc,items,Ammo,New,This Remington 700 can use .308 Winchester and 7.62x51mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem7004570Desc,items,Ammo,New,This Remington 700 uses .45-70 Government ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem700458winmagDesc,items,Ammo,New,This Remington 700 uses .458 Winchester Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem700500nitroDesc,items,Ammo,New,Well hot dam! This Remington 700 uses 500 Nitro Express ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,

5mmremingtonriflerem700,items,Ammo,New,Remington 700 [5mm Remington Magnum],,,,,
5mmremingtonriflerem700Schematic,items,Ammo,New,Remington 700 [5mm Remington Magnum] Schematic,,,,,
5mmremingtonriflerem700Desc,items,Ammo,New,This Remington 700 uses 5mm Remington Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,

17HMRriflerem700,items,Ammo,New,Remington 700 [.17 HMR],,,,,
17HMRriflerem700Schematic,items,Ammo,New,Remington 700 [.17 HMR] Schematic,,,,,
17HMRriflerem700Desc,items,Ammo,New,This Remington 700 uses .17 HMR ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,

22WMRriflerem700,items,Ammo,New,Remington 700 [.22 WMR],,,,,
22WMRriflerem700Schematic,items,Ammo,New,Remington 700 [.22 WMR] Schematic,,,,,
22WMRriflerem700Desc,items,Ammo,New,This Remington 700 uses .22 WMR ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,


Rem760022Desc,items,Ammo,New,What was remington thinking! This .22 S/LR rifle-barreled shotgun SUCKS against zombies.\nThis Remington 7600 uses 22 LR ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem7600223556Desc,items,Ammo,New,What was remington thinking! A rifle-barreled shotgun can't be as good as it sounds? I'll Take 10.\nThis Remington 7600 can use .223 Remington and 5.56x45mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem76003030winDesc,items,Ammo,New,What was remington thinking! A rifle-barreled shotgun can't be as good as it sounds? I'll Take 10.\nThis Remington 7600 uses .30-30 Winchester ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem7600308762Desc,items,Ammo,New,What was remington thinking! A rifle-barreled shotgun can't be as good as it sounds? I'll Take 10.\nThis Remington 7600 can use .308 Winchester and 7.62x51mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem76003006Desc,items,Ammo,New,What was remington thinking! A rifle-barreled shotgun can't be as good as it sounds? I'll Take 10.\nThis Remington 7600 uses 30-06 Springfield ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem7600300winmagDesc,items,Ammo,New,What was remington thinking! A rifle-barreled shotgun can't be as good as it sounds? I'll Take 10.\nThis Remington 7600 uses .300 Winchester Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem76004570Desc,items,Ammo,New,What was remington thinking! A rifle-barreled shotgun can't be as good as it sounds? I'll Take 10.\nThis Remington 7600 uses .45-70 Government ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,



RSASS223556Desc,items,Ammo,New,This Remington R11 RSASS can use .223 Remington and 5.56x45mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS65creeDesc,items,Ammo,New,This Remington R11 RSASS uses 6.5 Creedmoor ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS308762Desc,items,Ammo,New,This Remington R11 RSASS can use .308 Winchester and 7.62x51mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS8mmDesc,items,Ammo,New,This Remington R11 RSASS uses 7.92x57mm Mauser ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS3006Desc,items,Ammo,New,This Remington R11 RSASS uses 30-06 Springfield ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS300winmagDesc,items,Ammo,New,This Remington R11 RSASS uses .300 Winchester Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS338lapuamagDesc,items,Ammo,New,This Remington R11 RSASS uses .338 Lapua Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS50calDesc,items,Ammo,New,This Remington R11 RSASS uses 50 BMG ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,



AK4730carbHarryDesc,items,Ammo,New,This badass AK-47 Machine Gun uses .30 Carbine ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
AK47223556HarryDesc,items,Ammo,New,This badass AK-47 Machine Gun can use .223 Remington and 5.56x45mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
AK4754539HarryDesc,items,Ammo,New,This badass AK-47 Machine Gun uses 5.45x39mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
AK47300boHarryDesc,items,Ammo,New,This badass AK-47 Machine Gun uses .300 AAC Blackout ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
AK479x39HarryDesc,items,Ammo,New,This badass AK-47 Machine Gun uses 9x39mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
AK47458socomHarryDesc,items,Ammo,New,This badass AK-47 Machine Gun uses .458 SOCOM ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
AK4750beoHarryDesc,items,Ammo,New,This badass AK-47 Machine Gun uses .50 Beowulf ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,

AK-47 [.30 Carbine],items,Ammo,New,Kalashnikov AK-47 [.30 Carbine],,,,,
AK-47 [.223 Rem/5.56 NATO],items,Ammo,New,Kalashnikov AK-47 [.223 Rem/5.56 NATO],,,,,
AK-47 [5.45x39mm],items,Ammo,New,Kalashnikov AK-47 [5.45x39mm],,,,,
AK-47 [.300 AAC Blackout],items,Ammo,New,Kalashnikov AK-47 [.300 AAC Blackout],,,,,
AK-47 [9x39mm],items,Ammo,New,Kalashnikov AK-47 [9x39mm],,,,,
AK-47 [.458 SOCOM],items,Ammo,New,Kalashnikov AK-47 [.458 SOCOM],,,,,
AK-47 [.50 Beowulf],items,Ammo,New,Kalashnikov AK-47 [.50 Beowulf],,,,,

AK-47 [.30 Carbine] Schematic,items,Ammo,New,Kalashnikov AK-47 [.30 Carbine] Schematic,,,,,
AK-47 [.223 Rem/5.56 NATO] Schematic,items,Ammo,New,Kalashnikov AK-47 [.223 Rem/5.56 NATO] Schematic,,,,,
AK-47 [5.45x39mm] Schematic,items,Ammo,New,Kalashnikov AK-47 [5.45x39mm] Schematic,,,,,
AK-47 [.300 AAC Blackout] Schematic,items,Ammo,New,Kalashnikov AK-47 [.300 AAC Blackout] Schematic,,,,,
AK-47 [9x39mm] Schematic,items,Ammo,New,Kalashnikov AK-47 [9x39mm] Schematic,,,,,
AK-47 [.458 SOCOM] Schematic,items,Ammo,New,Kalashnikov AK-47 [.458 SOCOM] Schematic,,,,,
AK-47 [.50 Beowulf] Schematic,items,Ammo,New,Kalashnikov AK-47 [.50 Beowulf] Schematic,,,,,

22WMRak47,items,Ammo,New,Kalashnikov AK-47 [.22 WMR],,,,,
22WMRak47Schematic,items,Ammo,New,Kalashnikov AK-47 [.22 WMR] Schematic,,,,,
22WMRak47Desc,items,Ammo,New,This badass AK-47 Machine Gun uses .22 WMR ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,

792x33Kurzak47,items,Ammo,New,Kalashnikov AK-47 [7.92x33mm Kurz],,,,,
792x33Kurzak47Schematic,items,Ammo,New,Kalashnikov AK-47 [7.92x33mm Kurz] Schematic,,,,,
792x33Kurzak47Desc,items,Ammo,New,This badass AK-47 Machine Gun uses 7.92x33mm Kurz ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,



M60E4223556Desc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one can use .223 Remington and 5.56x45mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M60E4300boDesc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses .300 AAC Blackout ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M60E4458socomDesc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses .458 SOCOM ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M60E450beoDesc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses .50 Beowulf ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M60E4308762Desc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one can use .308 Winchester and 7.62x51mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M60E48mmDesc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 7.92x57mm Mauser ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M60E43006Desc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 30-06 Springfield ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,



Saiga12410Desc,items,Ammo,New,This badass Saiga-12 uses .410 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
Saiga1220Desc,items,Ammo,New,This badass Saiga-12 uses 20 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
Saiga1216Desc,items,Ammo,New,This badass Saiga-12 uses 16 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
Saiga1212Desc,items,Ammo,New,This badass Saiga-12 uses 12 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
Saiga1210Desc,items,Ammo,New,This badass Saiga-12 uses 10 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,



Mossberg590410Desc,items,Ammo,New,This Mossberg 590 shotgun uses .410 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Mossberg59020Desc,items,Ammo,New,This Mossberg 590 shotgun uses 20 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Mossberg59016Desc,items,Ammo,New,This Mossberg 590 shotgun uses 16 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Mossberg59010Desc,items,Ammo,New,This Mossberg 590 shotgun uses 10 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,



KodiakMark300winmagDesc,items,Ammo,New,Just another old rusty double barrel, but wait its chambered for .300 Winchester Magnum! Uses .300 Winchester Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,



